e,fecha,hr,indicativo,np_001,np_010,np_100,np_300,nt_00,nt_30,nw_55,nw_91,p_max,p_mes,ta_max,ta_min,ti_max,tm_max,tm_mes,tm_min,ts_min,w_med,w_racha,w_rec,anio,n_cub,n_des,n_nub
108,2020-1,81,4589X,12,7,3,0,0,0,0,0,24.4(15),84.0,17.8(17),3.2(21),8.4,14.4,10.9,7.3,11.4,9,06/15.0(20),205,2020,,,
120,2020-2,72,4589X,2,1,0,0,0,0,0,0,1.2(29),2.0,24.0(23),5.4(27),15.7,19.2,14.4,9.5,14.3,9,32/12.2(25),204,2020,,,
114,2020-3,71,4589X,7,3,1,0,0,0,1,0,20.4(30),36.4,28.2(11),4.7(16),14.2,19.0,13.9,8.8,13.2,12,30/15.8(02),291,2020,,,
136,2020-4,79,4589X,18,13,3,0,0,0,3,0,21.0(14),80.8,23.0(23),6.8(01),13.9,19.0,15.0,11.0,13.4,13,18/18.3(16),283,2020,,,
152,2020-5,,4589X,6,6,2,0,0,13,1,0,12.4(13),46.6,34.4(23),10.4(14),17.2,27.3,21.1,14.8,18.4,13,20/15.3(31),319,2020,,,
144,2020-6,54,4589X,1,1,1,0,0,10,0,0,14.6(04),14.6,38.8(22),9.6(08),22.9,29.1,21.9,14.6,21.9,15,19/14.4(09),344,2020,,,
171,2020-7,45,4589X,1,1,0,0,0,30,1,0,1.4(21),1.4,40.0(06),12.8(03),29.3,36.2,27.8,19.3,24.1,14,16/15.8(21),318,2020,,,
152,2020-8,46,4589X,0,0,0,0,0,27,0,0,0.0(--),0.0,38.1(01),13.7(29),27.4,33.6,25.7,17.8,23.2,15,31/14.4(28),345,2020,,,
155,2020-9,55,4589X,2,2,1,0,0,14,2,0,22.2(18),24.0,36.9(07),11.3(26),21.6,30.2,23.6,17.0,21.0,13,21/17.5(18),304,2020,,,
125,2020-10,62,4589X,6,6,2,2,0,5,3,1,63.8(19),139.2,31.6(07),7.4(15),16.8,23.9,18.0,12.1,18.0,12,22/27.5(20),268,2020,,,
144,2020-11,81,4589X,14,11,6,3,0,0,1,0,82.8(04),232.8,25.6(19),7.5(28),10.5,19.4,15.7,11.9,15.6,9,21/17.2(06),207,2020,,,
114,2020-12,83,4589X,,,,,0,0,1,0,,,19.9(01),0.9(27),10.8,14.7,11.2,7.7,14.4,11,32/15.3(04),258,2020,,,
136,2020-13,,4589X,,,,,0,99,13,1,,,40.0(06/jul),0.9(27/dic),8.4,23.8,18.3,12.7,24.1,12,22/27.5(20/oct),279,2020,,,
100,2021-1,81,4589X,13,7,0,0,3,0,1,0,7.4(20),23.2,22.2(28),-0.4(14),7.6,13.4,9.4,5.3,12.5,10,20/15.8(20),241,2021,,,
122,2021-2,83,4589X,14,12,4,0,0,0,4,0,26.4(05),102.2,21.5(14),5.8(07),11.3,16.0,12.5,9.1,12.5,12,18/18.6(21),267,2021,,,
104,2021-3,63,4589X,5,3,1,1,0,0,0,0,42.0(04),52.2,26.9(31),5.2(09),12.7,19.5,14.3,9.0,15.3,11,21/13.3(29),248,2021,,,
135,2021-4,72,4589X,9,7,3,0,0,0,0,0,16.6(16),60.8,25.4(06),7.9(30),18.6,21.6,16.6,11.6,14.3,12,19/14.7(01),279,2021,,,
123,2021-5,54,4589X,2,2,1,0,0,8,1,0,10.8(09),12.2,32.7(29),5.7(01),18.2,26.4,19.0,11.6,16.1,15,19/16.1(08),324,2021,,,
144,2021-6,54,4589X,2,2,0,0,0,13,0,0,9.2(17),11.0,37.3(08),9.7(04),22.2,29.7,22.2,14.6,18.4,14,22/13.9(18),307,2021,,,
152,2021-7,46,4589X,0,0,0,0,0,25,0,0,0.0(--),0.0,40.6(10),13.1(13),27.4,33.9,25.4,16.8,24.0,16,31/14.2(12),367,2021,,,
166,2021-8,50,4589X,0,0,0,0,0,27,0,0,0.0(--),0.0,42.9(14),12.5(01),27.2,33.8,25.8,17.7,25.5,14,15/12.2(09),326,2021,,,
169,2021-9,63,4589X,4,4,3,1,0,9,3,0,66.0(14),110.0,34.5(05),10.4(29),22.2,28.7,22.7,16.5,21.8,12,20/16.7(14),288,2021,,,
150,2021-10,63,4589X,4,4,0,0,0,3,0,0,8.4(30),17.8,31.0(06),9.3(22),20.2,26.0,20.3,14.6,18.5,10,26/12.8(30),227,2021,4,12,15
100,2021-11,67,4589X,4,3,1,0,0,0,1,0,10.2(20),13.8,22.9(13),1.5(28),12.9,17.8,12.9,7.9,15.3,10,30/15.8(27),234,2021,2,15,13
